n,m,alpha,beta,gamma,block_size_x,block_size_y,copy_time,sec_per_iter,write_time,is_shared_mem,is_block,is_column,is_row
3000,3000,1.000000,0.900000,0.001000,64,3000,20.662527,0.777326,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,128,3000,23.817057,0.776555,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,256,3000,20.831776,0.777801,0.000000,0,0,1,0
3000,3000,1.000000,0.900000,0.001000,512,3000,20.668352,0.778483,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,8,4000,35.762367,1.352475,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,16,4000,35.680126,1.352688,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,32,4000,35.571487,1.352315,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,64,4000,35.759136,1.352957,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,128,4000,35.664703,1.352344,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,256,4000,35.681313,1.352044,0.000000,0,0,1,0
4000,4000,1.000000,0.900000,0.001000,512,4000,35.523041,1.352472,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,8,5000,56.466400,2.114795,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,16,5000,59.450687,2.116839,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,32,5000,57.072960,2.116961,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,64,5000,58.032352,2.116696,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,128,5000,60.341919,2.117037,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,256,5000,54.591743,2.114445,0.000000,0,0,1,0
5000,5000,1.000000,0.900000,0.001000,512,5000,54.521313,2.115357,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,8,6000,78.078270,3.036713,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,16,6000,78.142593,3.037082,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,32,6000,82.391678,3.038913,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,64,6000,77.925568,3.036882,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,128,6000,78.327423,3.036640,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,256,6000,78.173599,3.036916,0.000000,0,0,1,0
6000,6000,1.000000,0.900000,0.001000,512,6000,78.239296,3.036984,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,8,7000,4.133196,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,16,7000,105.751007,4.133164,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,32,7000,112.589729,4.135450,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,64,7000,113.011902,4.135069,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,128,7000,123.169792,4.130105,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,256,7000,113.407745,4.135312,0.000000,0,0,1,0
7000,7000,1.000000,0.900000,0.001000,512,7000,113.507202,4.135385,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,8,8000,137.628540,5.370899,0.000000,0,0,1,0
8000,8000,1.000000,0.900000,0.001000,16,8000,134.886246,5.367232,0.000000,0,0,1,0
